word,frequency,song_count,song_percentage
生活,275,146,4.1559920296043265
任性,24,18,0.5123825789923143
疯狂,116,64,1.8218047253060063
守候,37,24,0.6831767719897524
试探,22,14,0.3985197836606889
温柔,369,172,4.896100199259892
还是,578,264,7.514944491887275
什么,911,358,10.190720182180472
遥远,116,61,1.7364076288072874
天空,238,155,4.412183319100484
无所谓,81,34,0.9678337603188157
因为,367,170,4.839168801594079
准备,47,30,0.8539709649871904
开始,266,151,4.298320523768859
银河,23,18,0.5123825789923143
倒数,26,10,0.2846569883290635
孤单,164,89,2.5334471961286646
深刻,25,12,0.3415883859948762
许环良,23,6,0.1707941929974381
这里,199,100,2.846569883290635
就是,490,188,5.351551380586393
思念,211,106,3.017364076288073
身边,295,129,3.6720751494449186
缘分,44,24,0.6831767719897524
上面,22,18,0.5123825789923143
宁愿,49,26,0.740108169655565
一点,234,111,3.159692570452605
天天,58,22,0.6262453743239397
深深,69,31,0.8824366638200968
生气,23,16,0.4554511813265016
爱恨,55,25,0.7116424708226587
煎熬,27,15,0.4269854824935952
以为,209,114,3.2450896669513236
相爱,111,61,1.7364076288072874
相信,328,167,4.75377170509536
一天,514,180,5.123825789923143
永远,523,234,6.660973526900086
冻结,34,6,0.1707941929974381
时间,462,233,6.632507828067179
怎么,574,265,7.543410190720182
只是,403,184,5.2376885852547685
古老,22,12,0.3415883859948762
心碎,66,28,0.7970395673213778
助理,104,93,2.6473099914602902
录音室,360,169,4.810703102761173
录音师,225,188,5.351551380586393
经纪,26,19,0.5408482778252206
有限公司,284,159,4.526046114432109
演唱,84,81,2.305721605465414
属于,94,44,1.2524907486478793
我俩,22,15,0.4269854824935952
世界,801,384,10.930828351836038
不用,121,66,1.8787361229718187
别人,144,79,2.2487902077996016
不管,186,83,2.3626530031312267
来自,65,34,0.9678337603188157
深渊,28,17,0.48391688015940787
不在乎,46,26,0.740108169655565
身上,47,31,0.8824366638200968
爱情,456,192,5.465414175918019
超越,23,6,0.1707941929974381
一切,425,195,5.5508112724167376
只要,167,93,2.6473099914602902
所有,485,210,5.977796754910333
完全,28,19,0.5408482778252206
不要,464,207,5.892399658411613
匆匆,58,29,0.825505266154284
一面,31,21,0.5977796754910333
转身,75,38,1.0816965556504412
传说,23,11,0.31312268716196984
搁浅,25,12,0.3415883859948762
可以,433,214,6.091659550241959
里面,132,68,1.9356675206376315
忘记,221,113,3.216623968118417
不变,27,17,0.48391688015940787
誓言,53,27,0.7685738684884714
眼泪,289,151,4.298320523768859
现实,65,48,1.3663535439795047
眷恋,26,16,0.4554511813265016
愿意,272,110,3.131226871619698
化作,35,16,0.4554511813265016
出现,135,75,2.134927412467976
再见,146,69,1.964133219470538
再也,102,51,1.4517506404782237
不见,93,43,1.224025049814973
飘荡,20,12,0.3415883859948762
海边,25,13,0.3700540848277825
抬头,32,19,0.5408482778252206
看见,153,90,2.5619128949615715
林夕,42,28,0.7970395673213778
假如,48,16,0.4554511813265016
错过,121,59,1.6794762311414746
应该,130,78,2.220324508966695
一场,161,89,2.5334471961286646
感情,124,69,1.964133219470538
面前,53,31,0.8824366638200968
自我,40,30,0.8539709649871904
全都,100,46,1.3094221463136921
不该,56,29,0.825505266154284
沉默,250,141,4.013663535439795
勇敢,159,79,2.2487902077996016
软弱,36,19,0.5408482778252206
如果,718,243,6.917164816396243
不是,396,189,5.3800170794193
误会,31,13,0.3700540848277825
难过,155,69,1.964133219470538
当初,61,39,1.1101622544833476
现在,373,185,5.2661542840876745
重来,67,23,0.6547110731568461
那天,91,49,1.394819242812411
的话,167,89,2.5334471961286646
好好,101,55,1.565613435809849
执着,57,29,0.825505266154284
情绪,68,47,1.3378878451465983
那么,432,192,5.465414175918019
可能,172,101,2.875035582123541
可惜,125,71,2.0210646171363504
剩下,89,55,1.565613435809849
结果,102,61,1.7364076288072874
了解,124,72,2.0495303159692573
或者,28,23,0.6547110731568461
遇上,35,17,0.48391688015940787
不过,120,73,2.0779960148021632
吴庆隆,27,22,0.6262453743239397
小心,53,33,0.9393680614859093
回到,153,78,2.220324508966695
如此,166,83,2.3626530031312267
完美,61,45,1.2809564474807857
说话,79,49,1.394819242812411
不爱,29,13,0.3700540848277825
一夜,64,26,0.740108169655565
心爱,30,19,0.5408482778252206
爱恋,29,14,0.3985197836606889
那时,31,22,0.6262453743239397
明白,360,159,4.526046114432109
为何,228,106,3.017364076288073
以后,218,101,2.875035582123541
瞬间,118,60,1.7079419299743808
疲倦,44,21,0.5977796754910333
穿梭,20,12,0.3415883859948762
从前,132,68,1.9356675206376315
空间,24,13,0.3700540848277825
画面,55,37,1.053230856817535
不让,52,20,0.569313976658127
发光,25,14,0.3985197836606889
键盘,165,154,4.383717620267578
双手,109,59,1.6794762311414746
刚好,29,17,0.48391688015940787
然后,88,45,1.2809564474807857
