word,frequency,song_count,song_percentage
世界,801,384,10.930828351836038
什么,911,358,10.190720182180472
怎么,574,265,7.543410190720182
还是,578,264,7.514944491887275
不会,487,263,7.48647879305437
知道,644,245,6.974096214062055
如果,718,243,6.917164816396243
永远,523,234,6.660973526900086
时间,462,233,6.632507828067179
可以,433,214,6.091659550241959
所有,485,210,5.977796754910333
不要,464,207,5.892399658411613
回忆,404,203,5.778536863079989
一起,448,202,5.750071164247082
一样,411,195,5.5508112724167376
一切,425,195,5.5508112724167376
不能,434,194,5.522345573583831
寂寞,396,194,5.522345573583831
那么,432,192,5.465414175918019
爱情,456,192,5.465414175918019
