word,frequency,song_count,song_percentage
什么,911,358,10.190720182180472
世界,801,384,10.930828351836038
如果,718,243,6.917164816396243
知道,644,245,6.974096214062055
还是,578,264,7.514944491887275
怎么,574,265,7.543410190720182
永远,523,234,6.660973526900086
维伴,522,34,0.9678337603188157
一天,514,180,5.123825789923143
就是,490,188,5.351551380586393
不会,487,263,7.48647879305437
所有,485,210,5.977796754910333
这样,467,189,5.3800170794193
不要,464,207,5.892399658411613
时间,462,233,6.632507828067179
爱情,456,192,5.465414175918019
一起,448,202,5.750071164247082
不能,434,194,5.522345573583831
可以,433,214,6.091659550241959
那么,432,192,5.465414175918019
