publish_year,song_count
1938,1
1955,1
1957,2
1961,1
1962,2
1963,1
1965,1
1966,4
1967,6
1968,7
1969,3
1970,39
1971,1
1972,7
1973,4
1974,4
1975,1
1976,3
1977,3
1978,3
1980,3
1981,3
1983,2
1984,2
1985,3
1986,4
1987,6
1988,4
1989,9
1990,10
1991,18
1992,16
1993,12
1994,25
1995,14
1996,24
1997,20
1998,26
1999,36
2000,46
2001,49
2002,37
2003,55
2004,55
2005,78
2006,82
2007,94
2008,74
2009,142
2010,122
2011,120
2012,147
2013,169
2014,134
2015,154
2016,185
2017,145
2018,136
2019,129
2020,121
2021,152
2022,136
2023,141
2024,126
2025,122
2026,231
